#737572,#727471,#6f7372,#6e7271,#6d7272,#6c7272,#6c7272,#6b7070,#686e6e,#646b6c,#626a6c,#61696b,#5d6567,#5a6264,#586062,#565f61,#565e60,#515b5d,#515b5e,#525c5f,#535c60,#535d5f,#535d5f,#535d5f,#555e60,#565e61,#586063,#586062,#596163,#5a6264,#5a6264,#596163,#5a6264,#5b6365,#5d6567,#5e6567,#5f6467,#5f6467,#606667,#616767,#616867,#616765,#606666,#606666,#5f6565,#5d6364,#596163,#575f61,#576162,#5a6365,#5e6668,#61686b,#63686b,#63696a,#65696a,#676b6c,#6a6e6d,#6c706f,#6a6f6c,#686c6a,#676b6a,#686c6c,#686e6e,#656a69,#636766,#656766,#6c6c69,#75726f,#7b7772,#7e7871,#7c756d,#787169,#78736b,#79756c,#79756d,#77746e,#76746f,#787773,#767671,#73746f,#71726d,#71726d,#727270,#737371,#737472,#727473,#737574,#747675,#757776,#777978,#787a79,#797b7a,#7a7c7b,#797b7a,#797b7a,#787a79,#777978,#777776,#787876,#797977,#797977,#797977,#787a79,#767877,#737475,#707173,#6e6f71,#6c7071,#6b6f70,#6b6f70,#6b6f70,#6c7071,#6a7070,#696f6f,#686e6e,#696f6f,#6a7070,#6c6d6f,#6d6e70,#6e7172,#6f7374,#707475,#6e7472,#6e7471,#6f7470,#70746f,#71746d,#72736d,#74736b,#747168,#757167,#797267,#7c7368,#776d62,#74695c,#74695c,#776d61,#726b5f,#6e695e,#6c685e,#6d6a60,#716e64,#75726a,#79766d,#7c796f,#7f7a70,#817c71,#898278,#8e877d,#938b82,#988f86,#999087,#979088,#958e86,#938c84,#908981,#8c867e,#858178,#86827a,#88847d,#8a857f,#8a8680,#8a8780,#8a8780,#87857f,#82827c,#7c7d77,#6f706a,#666862,#62655f,#636560,#646661,#61635e,#60625d,#60615d,#5d5d5b,#575856,#565855,#585a57,#575a57,#545955,#505551,#4c524e,#4a504c,#474e4a,#444c47,#434b46,#495049,#4e554e,#535953,#575c56,#595d57,#5b5d58,#5f615c,#64645f,#686763,#696a65,#646864,#5f6460,#5e625c,#60625a,#67665c,#706d61,#767164,#797365,#7b7467,#7c7469,#7c756b,#77726b,#716e68,#6c6b67,#6d6e69,#747472,#797976,#7e7d79,#83807c,#88847f,#89837d,#8a837c,#8c857d,#8d867e,#908880,#918a82,#938c84,#968e86,#999087,#9a9188,#9d948b,#9f968d,#a0988f,#a29990,#a29990,#a29990,#a1978e,#a0968d,#9f958c,#9d948b,#999087,#989087,#999288,#9c958b,#9f988e,#a29990,#a39a91,#a49b92,#a59c93,#a79e95,#aaa198,#aba198,#aba198,#ada29a,#aea49b,#b2a59d,#b3a69e,#b3a69e,#b3a69e,#b3a69e,#b2a59c,#b2a59c,#b2a59c,#b2a59c,#b3a69d,#b4a79e,#b5a89f,#b7a9a0,#b8aaa1,#b9aba2,#baaca3,#bbada4,#bbada3,#bcaea3,#bcaea3,#bcaea3,#bbada2,#baaca1,#baaca1,#baaca1,#beada4,#beada5,#beada5,#bfaea6,#c0afa7,#c0afa7,#c0afa7,#c0afa7,#c0afa7,#c0afa7,#c0afa7,#c0afa7,#c1b0a8,#c1b0a8,#c2b1a9,#c2b1a9,#c2b1a9,#c2b1a9,#c2b1a9,#c2b1a9,#c1b0a6,#c1b0a6,#c1b0a6,#c1b0a6,#c0afa5,#c0afa5,#bfaea4,#bfaea4,#beada3,#beada3,#bdafa4,#bdafa4,#bdafa4,#bcaea3,#bbada2,#baaca1,#b9aba0,#b9aba0,#b8aa9f,#b8aa9f,#b5a89f,#b4a79e,#b2a59c,#b1a49b,#afa39a,#aca299,#aba098,#a99f96,#a89e95,#a79d94,#a69c93,#a59b92,#a39a92,#a19891,#a09790,#9f968f,#9e958e,#9e958e,#9e958e,#9e958e,#9e978f,#9e978f,#9f978f,#9f968f,#9f968f,#9f968f,#9f968f,#9f968e,#9f968d,#a0978e,#a39990,#a49a91,#a49a91,#a49a91,#a59b92,#a69c93,#a79d94,#aa9f96,#aea099,#afa29a,#ada39a,#ada39a,#aea49b,#aea49b,#afa49b,#b1a49c,#b2a59d,#b3a69e,#b3a69e,#b3a69e,#b2a59d,#b3a69e,#b4a79f,#b6a9a0,#b7aaa2,#b7aaa2,#b7aaa2,#b7aaa2,#b7aaa2,#b6a9a1,#b5a8a0,#b5a8a0,#b5a8a0,#b5a8a0,#b5a8a0,#b6a9a1,#b6a9a1,#b6a9a1,#b6a9a1,#b6a9a1,#b6a9a1,#b5a8a0,#b4a69f,#b3a69e,#b3a69e,#b3a69e,#b4a79f,#b3a69e,#b3a69e,#b3a69e,#b3a9a0,#b3a99f,#b2a89f,#b1a79e,#b1a79e,#b1a79e,#b1a79e,#b1a79e,#b2a89f,#b2a89f,#b0a69d,#b1a79e,#b1a79e,#b1a79e,#b1a79e,#b0a69d,#b0a69d,#b0a69d,#b1a79e,#b1a79e,#b3a69e,#b2a59d,#b2a59d,#b4a79f,#b4a79f,#b3a69e,#b3a69e,#b4a79f,#b4a79f,#b3a69e,#b3a59e,#b3a69e,#b3a69e,#b4a79f,#b5a8a0,#b5a8a0,#b4a79f,#b4a79f,#b4a79f,#b3a69e,#b4aaa1,#b3a9a0,#b2a89f,#b1a79e,#b0a69d,#b0a69d,#b0a69d,#b1a69e,#b1a79e,#b2a89f,#b0a69d,#afa59c,#afa59d,#afa49e,#aea39d,#aea39d,#aea39d,#afa49e,#afa49e,#afa49e,#b0a79e,#afa69d,#ada49b,#aca39a,#aba299,#aba198,#aca299,#aca299,#ada39a,#ada39a,#afa29a,#b0a39b,#b2a59d,#b4a79e,#b5a89f,#b7a9a0,#b7a9a0,#b8a9a0,#b8aaa1,#b8aaa1,#baaca3,#baaca3,#baaca3,#baaca3,#baaca3,#baaca3,#bbada4,#bbada4,#bbada4,#bbada4,#baaca3,#bbada4,#bcaea5,#bbada4,#b9aba2,#b6a89f,#b5a79e,#b5a79e,#b6a89f,#b8aaa1,#baada4,#baada4,#baada4
#717573,#707472,#6f7372,#6e7271,#6d7271,#6c7272,#6c7272,#6d7373,#6a7070,#656c6d,#626a6c,#60686a,#5d6567,#5b6365,#596163,#586062,#586062,#555d5f,#545d5f,#555d60,#555e61,#565e60,#566061,#566061,#566061,#565f61,#565f60,#576061,#586162,#596263,#586264,#586163,#596264,#5a6365,#5b6466,#5c6467,#5d6467,#5e6568,#606769,#606869,#606868,#5f6766,#5e6567,#5e6566,#5c6465,#5a6263,#576062,#565f61,#566062,#596264,#5c6567,#5f6869,#60696a,#616969,#646b6b,#686d6d,#6b706e,#6b6f6e,#6a6e6c,#676c6a,#666b69,#676c6b,#696e6d,#666b6a,#666968,#696a68,#6f6f6b,#797672,#7e7974,#7e7871,#7c756d,#787169,#79746d,#7c7770,#7c7871,#7a7772,#797772,#7b7a76,#7a7975,#777773,#757671,#747470,#737371,#737371,#727372,#717372,#717372,#757776,#767877,#767877,#777978,#787a79,#787a79,#787a79,#787a79,#777978,#767877,#767775,#767775,#777876,#777977,#787978,#777978,#757776,#737575,#6f7274,#6d7072,#6c7071,#6b6f70,#6b6f70,#6b7070,#6b7171,#6a7070,#696f6f,#686e6e,#696f6f,#6b7071,#6d6f70,#6e6f71,#6e7172,#6e7273,#6f7373,#6d7372,#6d7370,#6e7470,#70746f,#72756e,#797b75,#7d7c73,#7e7a71,#7d786e,#7d766a,#7d7469,#796f64,#776d5f,#776d5f,#796f63,#736c60,#6f6b5f,#6d695e,#6d695f,#6f6c61,#737067,#78746c,#7c776f,#7f7970,#827c72,#8b8379,#90887e,#948c82,#978f85,#989086,#978e85,#948c83,#918980,#8e877d,#898379,#827d74,#827e75,#837f78,#85807a,#86817b,#87847d,#87847d,#84827c,#807f7a,#7a7b75,#6f706a,#686a63,#646761,#636761,#636761,#60625d,#5e605b,#5e605c,#5b5d5a,#565855,#555754,#565956,#555a56,#545955,#515652,#4d524e,#494f4b,#454d49,#424b46,#3f4843,#424843,#474d48,#4c514c,#515650,#545953,#5a5c57,#5f615c,#656661,#686964,#696a66,#646965,#616661,#60645e,#63655d,#6a6a60,#737065,#7a7568,#7e776a,#80776c,#80786d,#80796e,#7a756d,#72706a,#6d6d68,#6e6f6a,#767773,#7b7c77,#807f7b,#85827e,#898681,#8c857f,#8d867f,#8f8880,#918a82,#938c84,#968f87,#989189,#9b938b,#9e958c,#9f978e,#a0978e,#a1998f,#a39a91,#a49a91,#a49a91,#a49a91,#a39990,#a2988f,#a1988f,#a0978e,#9c938a,#9b9389,#9c948b,#9f968d,#a19990,#a49b92,#a49b92,#a59c93,#a79d94,#a89f96,#aba198,#aba198,#aca198,#aea299,#afa39b,#b2a59d,#b3a69e,#b3a69e,#b3a69e,#b3a69e,#b3a69d,#b2a59c,#b2a59c,#b2a59c,#b3a69d,#b4a79e,#b5a89f,#b7a9a0,#b8aaa1,#b9aba2,#baaca3,#bbada4,#bbada4,#bcaea4,#bdafa5,#bdafa4,#bcaea3,#bbada2,#bbada2,#bbada2,#bcada5,#bdaea5,#beafa6,#beafa7,#bfb0a7,#bfb0a7,#bfb0a8,#bfb0a8,#bfb0a7,#bfb0a7,#beafa6,#beafa6,#bfafa7,#bfb0a7,#bfb0a8,#c0b1a8,#bfb0a8,#bfb0a8,#bfb0a8,#bfb0a8,#c0afa7,#c0afa7,#c0afa6,#bfafa6,#bfaea5,#bfaea5,#beada5,#bdada4,#bcada4,#bcada4,#bcaea4,#bcaea5,#bcaea4,#bbada3,#baaca2,#b9aba2,#b9aba1,#b8aaa0,#b7a9a0,#b7a99f,#b5a89f,#b4a79e,#b2a59c,#b1a49b,#b0a39a,#aca299,#aba198,#aaa097,#a89e95,#a79d94,#a59c94,#a59b94,#a39a93,#a19891,#a09790,#9f968f,#9f968f,#9f968f,#9f968f,#9f968f,#9e978f,#9e978e,#9e958e,#9e958e,#9e958e,#9e958e,#9e958e,#9e958d,#9f968c,#9f968d,#a29990,#a39990,#a49a91,#a49a91,#a49a91,#a59b92,#a79d94,#a99f96,#aca098,#ada299,#aca299,#aca299,#ada39a,#ada39b,#aea49b,#b1a49c,#b2a59d,#b2a59d,#b3a59e,#b3a69e,#b2a59d,#b3a69e,#b4a79f,#b5a8a0,#b6a9a1,#b6a9a1,#b6a9a1,#b6a9a1,#b6a9a1,#b5a8a0,#b4a9a0,#b4a9a0,#b4a9a0,#b4a9a0,#b4a9a0,#b4a9a0,#b4a9a1,#b5aaa1,#b5aaa1,#b5a9a1,#b4a9a0,#b3a89f,#b2a79e,#b2a79e,#b2a79e,#b2a79f,#b3a79f,#b2a79e,#b2a79e,#b2a79e,#b2a89f,#b1a79e,#b1a79e,#b0a69d,#b0a69d,#b0a69d,#b1a79e,#b1a79e,#b1a79f,#b2a89f,#b0a69d,#b1a79e,#b1a79e,#b1a79e,#b1a79e,#b0a69d,#b0a69d,#b0a69d,#b1a79e,#b1a79e,#b5a8a0,#b4a79f,#b4a79f,#b6a9a0,#b6a9a1,#b4a79f,#b4a79f,#b5a8a0,#b5a8a0,#b3a69e,#b4a79f,#b4a79f,#b5a8a0,#b5a8a0,#b6a9a1,#b6a9a1,#b5a8a0,#b4a79f,#b4a79f,#b3a69e,#b4aaa1,#b3a9a0,#b2a89f,#b1a79e,#b1a69e,#b0a69d,#b0a69d,#b0a69d,#b1a79e,#b2a89f,#afa59c,#aea49b,#aea49c,#aea39d,#ada29c,#ada29c,#ada29c,#ada29d,#aea39d,#aea39d,#aea59c,#ada49b,#aca39a,#aaa198,#aaa198,#aaa097,#aba198,#aca299,#ada39a,#aea39b,#afa29a,#b0a39b,#b1a49c,#b3a69e,#b5a79f,#b6a89f,#b7a9a0,#b7a9a0,#b8a9a0,#b8aaa1,#b9aba2,#b9aba2,#b9aba2,#b9aba2,#b9aca3,#b9aca3,#baaca3,#baaca3,#baaca3,#baaca3,#bbada4,#bbaea5,#bbaea5,#baaca3,#b7a9a0,#b3a59d,#b2a49b,#b2a59c,#b4a69d,#b5a89f,#b8aba2,#b9aca3,#b8aba2
#727675,#717574,#707473,#6e7271,#6d7271,#6c7272,#6c7272,#6d7373,#6a7070,#656c6d,#61696b,#5f6769,#5d6567,#5b6365,#596163,#586062,#586062,#575f61,#575f61,#575f61,#575f61,#576061,#576162,#576162,#566061,#555f60,#535d5e,#555f60,#576162,#576163,#576163,#566062,#576163,#586264,#5a6466,#5a6466,#5a6365,#5d6568,#5f6669,#5f676a,#5f6769,#5d6666,#5c6466,#5c6466,#5a6365,#586163,#566062,#576163,#576264,#586365,#5b6567,#5d6769,#5e6869,#5f6969,#626b6b,#666e6d,#69706f,#6b706e,#6a6e6d,#686d6b,#666c6a,#676d6b,#6a6f6e,#6a6d6c,#6b6d6b,#6e6e6c,#74736f,#7d7a74,#7f7b75,#7e7871,#7b746c,#787169,#7a756e,#7d7872,#7d7a74,#7b7974,#7a7974,#7d7c78,#7d7c78,#7b7b76,#787974,#767772,#757573,#747472,#727372,#717372,#707271,#747675,#747675,#757776,#757776,#767877,#767877,#767877,#777978,#767877,#767877,#757774,#757774,#757775,#767877,#767877,#767877,#757776,#727575,#6f7374,#6d7172,#6c7071,#6b6f70,#6a6f70,#6a7070,#6a7070,#6a7070,#686e6e,#686e6e,#6a7070,#6b7171,#6e7071,#6f7072,#6f7173,#6e7273,#6e7272,#6d7371,#6d7370,#6f7470,#717570,#747770,#7f7f78,#84827a,#86837a,#858076,#827c70,#80786d,#7e7569,#7d7466,#7d7466,#7e7567,#777063,#736e61,#6f6a5f,#6d685d,#6c685d,#706c63,#757168,#7c766d,#817a71,#847e73,#8c847a,#90887e,#948c81,#978f84,#978f84,#968d84,#938a81,#8f877e,#8b847a,#868076,#7e7a71,#7e7a71,#7f7b73,#817c76,#827e77,#848079,#838079,#807e78,#7a7974,#74756f,#6d6f68,#676a63,#636761,#616660,#5f645e,#5b5e59,#5c5e59,#5d5f5b,#5d5f5c,#585a57,#555855,#555a56,#555a56,#545955,#515652,#4d524e,#494f4b,#454d48,#414a45,#3f4743,#3e4440,#424844,#474c47,#4c514b,#525650,#595b56,#60625d,#666863,#6a6b66,#6a6c67,#666966,#636762,#636660,#676961,#6e6e65,#767468,#7c786c,#80796e,#827a70,#827b70,#807a71,#7b776f,#74726c,#706f6a,#71726d,#7a7b76,#7f807b,#84827e,#888580,#8c8882,#8f8881,#918a82,#938c84,#958e86,#989088,#9a938b,#9c958d,#9f978e,#a29990,#a39a91,#a39a91,#a49b92,#a59c93,#a69c93,#a59b92,#a49b91,#a49a91,#a49a91,#a49a91,#a49a91,#9f968d,#9e968c,#9f978d,#a1988f,#a39b92,#a69d94,#a59d94,#a69d94,#a89e95,#aa9f97,#aba198,#aba198,#aca198,#aea199,#afa29a,#b1a49c,#b3a59e,#b3a69e,#b3a69e,#b3a69e,#b3a69e,#b3a69d,#b2a59c,#b3a69d,#b3a69d,#b4a79e,#b5a89f,#b7a9a0,#b8aaa1,#b9aba2,#bbada4,#bbada4,#bbada4,#bcaea5,#bdafa6,#bdafa4,#bdafa4,#bcaea3,#bbada2,#bbada2,#bcaea5,#bdafa6,#bdafa6,#beb0a7,#beb0a7,#bfb1a8,#bfb1a8,#bfb1a8,#bfb1a8,#beb0a7,#bdafa6,#bdaea5,#bdafa6,#beafa6,#beb0a7,#beb0a7,#beb0a7,#beafa6,#beafa6,#beafa6,#bfafa6,#bfaea6,#bfaea6,#bfaea6,#beada5,#beada5,#beada5,#bcada4,#bbada4,#bbada4,#bbada4,#bbada4,#bbada4,#baaca3,#b9aba2,#b8aaa1,#b7a9a0,#b7a9a0,#b6a89f,#b6a89f,#b5a89f,#b3a69d,#b2a59c,#b1a39b,#afa299,#aca299,#aba198,#aaa097,#a89e95,#a79d94,#a59c94,#a49b94,#a39a93,#a19991,#a09790,#9f978f,#9f968f,#9f968f,#9f968f,#9f978f,#9f978f,#9e978f,#9d958e,#9d948d,#9d948c,#9d948c,#9d948d,#9d948c,#9e958c,#9f968d,#a2988f,#a2998f,#a39990,#a39a90,#a49a91,#a49a91,#a69c93,#a89e95,#aaa097,#aca299,#ada39a,#ada39a,#ada39a,#aea49b,#afa49b,#b1a49c,#b2a59d,#b2a59d,#b2a59d,#b2a59e,#b2a59d,#b3a69e,#b4a79f,#b5a8a0,#b6a8a0,#b6a8a0,#b6a8a0,#b6a8a0,#b5a8a0,#b4a89f,#b3a89f,#b3a89f,#b3a9a0,#b3a9a0,#b3a9a0,#b3a9a0,#b3a9a0,#b4a9a0,#b4a9a0,#b3a9a0,#b3a9a0,#b2a89f,#b1a79e,#b1a79e,#b1a79e,#b2a89f,#b2a89f,#b1a79e,#b1a79e,#b0a69e,#b0a69e,#b0a69e,#b0a69d,#b0a69d,#b0a69d,#b0a69d,#b1a79e,#b1a79e,#b2a89f,#b2a89f,#b1a79e,#b1a79e,#b1a79e,#b1a79e,#b1a79e,#b0a69e,#b0a69d,#b1a79e,#b1a79e,#b2a89f,#b6a9a1,#b5a89f,#b5a8a0,#b6a9a1,#b7aaa2,#b4a79f,#b5a8a0,#b5a8a0,#b5a8a0,#b3a69e,#b5a8a0,#b5a8a0,#b5a8a0,#b6a9a1,#b6a9a1,#b6a9a1,#b6a9a0,#b5a8a0,#b4a79f,#b3a79f,#b4aaa1,#b3a9a0,#b2a89f,#b2a89f,#b1a79e,#b0a69d,#b0a69d,#b0a69d,#b1a79e,#b1a79e,#afa59c,#aea49b,#aea49c,#aea39d,#ada29c,#ada29c,#ada29c,#ada29c,#ada29c,#ada29c,#aca29a,#aba299,#aaa199,#aaa198,#aaa097,#aba198,#aba198,#aca299,#ada39a,#aea49b,#afa29a,#b0a39b,#b1a49c,#b2a59d,#b4a79f,#b6a89f,#b7a9a0,#b7a9a0,#b8aaa0,#b8aaa1,#b8aaa1,#b8aaa1,#b8aaa1,#b8aba2,#b9aba2,#b9aba2,#b9aba2,#b9aba2,#b9aba2,#b9aca3,#baaca3,#baada4,#b9aca3,#b7aaa1,#b4a79e,#b1a39b,#afa299,#b0a39a,#b2a59c,#b4a79e,#b6a9a0,#b7aaa1,#b6a9a0
#737776,#727675,#707473,#6f7372,#6d7272,#6c7272,#6c7272,#6c7272,#686e6e,#636a6b,#60686a,#5e6668,#5d6567,#5b6365,#586163,#576062,#576061,#586062,#575f61,#575f60,#575f60,#586061,#586163,#586162,#566061,#555f60,#535d5e,#555f60,#566061,#566062,#566062,#555f61,#566061,#576163,#586264,#586264,#586264,#5b6366,#5d6468,#5e6668,#5e6668,#5c6467,#5b6365,#5a6365,#596264,#576163,#555f61,#576264,#576264,#586365,#596466,#5a6567,#5c6667,#5d6768,#606969,#636c6b,#676f6e,#6b7170,#6b706f,#6a6f6e,#686e6c,#696f6d,#6d716f,#6f716f,#71716f,#747370,#7a7873,#807b75,#807b74,#7d776f,#79726a,#777068,#79746e,#7c7972,#7c7a74,#7b7a75,#7b7a76,#7e7d79,#7e7d79,#7c7c77,#7a7b76,#787874,#767674,#747472,#737472,#717372,#707271,#727473,#737574,#737574,#747675,#747675,#757776,#767877,#767877,#767877,#767877,#767875,#757775,#757775,#757776,#757776,#747676,#737675,#717474,#6e7273,#6d7172,#6c7071,#6a6f70,#696e6f,#696f6f,#6a7070,#696f6f,#686e6e,#686e6e,#6a7070,#6c7171,#6f7072,#707173,#6f7173,#6e7272,#6e7271,#6e7371,#6e7470,#707570,#737771,#767971,#7f7f77,#86847b,#8a867d,#8a857b,#868074,#837b70,#82796e,#837a6c,#847b6c,#837a6b,#7a7265,#767063,#716b60,#6d675c,#6a665b,#6d695f,#747065,#7d776c,#837c72,#878075,#8c8479,#90887d,#938b80,#958d82,#958d82,#948c82,#91897f,#8d857b,#888176,#837c72,#7c776e,#7b786f,#7c7971,#7f7a74,#807b75,#807d76,#7f7c75,#7a7872,#73726d,#6d6e68,#696c65,#646760,#61655e,#5e635d,#5b605a,#575a54,#595c57,#5e605c,#60625f,#5c5f5c,#555a56,#565b57,#565b57,#545955,#505652,#4c524e,#4a504c,#464e49,#434c47,#414a45,#3f4541,#414743,#464b46,#4a4f49,#50554f,#595b56,#61635e,#676964,#6b6c67,#6c6d68,#696a67,#676965,#686a64,#6c6d66,#72726a,#79776c,#7d796e,#807b70,#827b72,#827c72,#7f7b72,#7b7770,#76746e,#73736e,#767772,#7f7f7a,#84847f,#888681,#8b8782,#8f8a83,#928c84,#948d85,#978f87,#99928a,#9b948c,#9d968e,#9f9790,#a19991,#a39b91,#a59c93,#a59c93,#a69d94,#a79d94,#a79d94,#a69c93,#a59b92,#a59b92,#a69c93,#a79d94,#a79d94,#a1988f,#a0988f,#a1998f,#a39a91,#a69d94,#a79e95,#a79e95,#a79e95,#a99f96,#aaa097,#aba198,#aba198,#aca098,#ada099,#afa29a,#b1a49c,#b2a59d,#b3a69e,#b4a79f,#b4a79f,#b4a79e,#b4a69e,#b3a69d,#b3a69d,#b3a69d,#b4a79e,#b5a89f,#b7aaa1,#b8aaa1,#b9aba2,#bbada4,#bbada4,#bbada4,#bcaea5,#bdafa6,#bdafa5,#bdafa4,#bdafa4,#bcaea3,#bbada3,#bdafa6,#bdafa6,#bdafa6,#beb0a7,#bfb1a8,#bfb1a8,#bfb1a8,#bfb1a8,#bfb1a8,#bfb1a8,#bcaea5,#bcaea5,#bcaea5,#bdafa6,#bdafa6,#bdafa6,#bdafa6,#bdafa6,#bdafa6,#bdafa6,#bfaea6,#bfaea6,#bfaea6,#bfaea6,#beada5,#bdada5,#bdaca4,#bcaca4,#bbaca3,#baaca3,#baaca3,#baaca3,#b9aba2,#b8aaa1,#b8aaa1,#b7a9a0,#b6a89f,#b6a89f,#b5a79e,#b5a79e,#b4a79e,#b3a69d,#b1a59c,#b0a39a,#aea299,#aca299,#aba198,#aaa097,#a89e95,#a79d94,#a49b94,#a39a93,#a29992,#a29992,#a19891,#a09790,#a09790,#a09790,#a09791,#a09891,#9f9890,#9f9890,#9e968e,#9d948d,#9c948c,#9c938c,#9d948d,#9e958d,#9f968d,#a0978e,#a1988f,#a2988f,#a2988f,#a39990,#a39990,#a49a91,#a59b92,#a79d94,#aa9f97,#aba198,#aea49b,#aea49b,#aea49b,#aea49b,#afa59c,#b1a49c,#b1a49c,#b1a49c,#b1a49c,#b2a59d,#b3a69e,#b3a69e,#b3a69e,#b4a79f,#b5a8a0,#b5a8a0,#b5a8a0,#b5a8a0,#b4a79f,#b4a79f,#b2a89f,#b2a89f,#b2a89f,#b3a9a0,#b3a9a0,#b3a9a0,#b3a9a0,#b3a9a0,#b3a9a0,#b3a9a0,#b2a89f,#b1a79e,#b1a79e,#b1a79e,#b1a79e,#b2a89f,#b2a89f,#b1a79e,#b1a79e,#b0a69d,#b0a69d,#b0a69d,#b0a69d,#b0a69e,#b1a79e,#b1a79e,#b2a89f,#b2a89f,#b2a89f,#b2a89f,#b1a79e,#b2a89f,#b2a89f,#b2a89f,#b2a89f,#b1a79e,#b1a79e,#b1a79e,#b1a79f,#b3a89f,#b5a9a0,#b4a79f,#b5a8a0,#b6a9a1,#b7aaa1,#b4a79f,#b5a8a0,#b6a9a1,#b6a9a0,#b4a79f,#b4a79f,#b5a89f,#b5a8a0,#b6a9a1,#b7aaa1,#b6a9a1,#b6a9a1,#b6a9a0,#b5a8a0,#b4a89f,#b4a9a0,#b3a9a0,#b2a89f,#b2a89f,#b1a79e,#b0a69d,#b0a69d,#b0a69d,#b1a79e,#b1a69e,#afa59c,#afa59c,#aea49c,#aea39d,#aea39d,#ada29c,#ada29c,#ada29c,#ada29c,#aca29b,#aaa198,#aaa198,#aaa198,#aaa198,#aba199,#aca299,#aca299,#ada39a,#ada39a,#aea49b,#afa39b,#b0a39b,#b0a39b,#b1a49c,#b3a69e,#b5a79f,#b6a9a0,#b7a9a1,#b8aaa1,#b7aaa1,#b7aaa1,#b7aaa1,#b7aaa1,#b7aaa1,#b7aaa1,#b7aaa1,#b8aba2,#b8aba2,#b8aba2,#b8aba2,#b8aaa1,#b7aaa1,#b7aaa1,#b5a89f,#b2a59c,#afa299,#ada098,#afa299,#b1a49b,#b3a69d,#b4a79e,#b4a79f,#b5a89f
